Labile.Pi,Labile.Po,OH.Pi,OH.Po,acid.P,PME
3.2,23.75,14.4,155.5,9.35,0.039913474
4.1,23.25,14.9,146.5,10.3,0.552167503
4.6,19.2,12.55,132.85,10.8,0.023623327
4,21.75,13.3,142.55,10.45,0.201716055
14.1,51.5,11.3,104.85,67.7,0.11859002
17.75,80.4,11.8,163.2,65.6,0.092796869
17.45,72.6,11.7,145.4,66.15,0.094603265
6.3,62.65,13.65,115.3,64.1,0.143521788
9.3,54.75,14.05,169.05,66.55,0.089569573
1.7,20.55,3.05,89.3,77.55,0.096467851
2.45,26.55,2.85,77.75,77.1,0.412336935
1.75,19.85,2.55,78.2,75.7,0.135232343
1.65,26,2.85,79.05,74.2,0.002879319
3.2,28.45,2.95,60.8,82.85,0.048242045
4,36.35,16.5,132.55,28.9,0.139592396
6.55,46.15,13,147.55,33.1,0.007843498
12.6,56.6,11.8,111.4,57.6,0.18254707
3.65,50.55,7.5,67.35,118.75,0.07126839
8.75,20.2,21.8,82.6,29.55,0.557260892
8.5,28.15,20,165.95,36,0.541631443
6,23.35,23.35,183.5,32.7,0.459651118
8.8,21,32.45,196.7,33.75,0.624949652
8.3,20,30.35,229.4,28.3,0.490681598
33.75,13.15,28.85,81.25,122.65,0.141618072
48.6,22,35,132.2,149.35,0.288817397
30.55,16.3,24.25,120.85,179.85,0.199865476
26.35,17,13,92.75,176.8,0.091733457
32.8,10.45,18.55,74.5,171.95,0.138742317
64.55,24.3,22.8,68.45,40,0.174533387
52.1,26.6,17.2,79.35,36.4,0.154552073
39.2,28.1,16.4,124.95,23.8,0.176320308
34.6,22.2,19.75,177.05,15.2,0.154898021
49.1,35.35,21.4,179.7,22.4,0.246719136
56.4,23,24.15,146.65,138.9,0.105192149
50.85,14.1,26.95,138.5,170,0.004584332
55.15,11.05,14.4,93.75,181.85,0.093250951
44.55,31.25,15.2,78.5,171.7,0.229951763
41,42.55,18.9,90.75,126.45,0.102657038
45.3,18.65,9.7,62.6,202.7,0.14298602
43.7,19.35,7.95,56.65,201.3,0.088226665
49.95,15.7,19.75,64.3,194.5,0.082269294
48.8,24.9,31.05,79.25,176.95,0.038052934
34.2,21.3,23.6,88.95,151.7,0.026192205
5.122355597,17.36094156,39.93416488,88.36294955,11.77173818,5.42126079
3.378855605,6.985451731,46.57520153,47.09788333,9.697470867,3.643615645
10.37375504,25.25209182,51.50825019,93.12545133,6.603849893,4.65382595
4.363655791,17.37262258,53.04738305,76.42203307,3.326505715,2.817830242
12.19574243,30.04942431,72.55184625,85.70348967,138.4016994,5.233383867
7.040801863,18.29509048,70.85921084,65.56620544,88.37347428,2.250434525
23.00592443,29.83062064,98.55135025,44.75463908,123.3984337,1.137545491
4.824368858,6.588549025,119.812992,26.31651409,180.1208011,0.640139683
21.73453481,9.026023933,16.03083223,27.83849542,111.7731514,5.24992281
18.50582738,5.287311197,17.85345767,19.43103016,125.723769,3.8688793
90.54240072,25.08301763,453.5965918,54.68372072,203.9328355,4.394447427
91.84678706,24.50566111,461.7647815,67.26506175,193.314249,2.425150221
70.25843732,35.62350542,392.9263775,136.2747823,161.1381343,3.53748358
61.82814969,26.69086464,403.0100933,107.1408441,146.0773386,1.740385771
28.29205049,53.97384903,87.4772819,76.65318819,34.19662199,3.708540006
12.63105878,22.83722749,92.54174215,46.18055542,24.9161414,1.703102643
1.042478295,1.660751855,66.9716708,212.3023412,2.734315978,5.119643
0.962183714,1.565778715,66.65120968,217.0855557,2.688530435,3.810761
12.27403519,19.64725919,170.8081034,120.1867246,46.31147835,4.882572714
6.977135512,12.43596339,190.3680416,103.9975112,29.4145096,2.240491524
3.388431055,11.89648314,101.5197739,146.3409196,190.4297494,6.787132404
2.552733752,9.460294365,102.7472354,142.5470616,171.1855232,4.076800188
1.088342502,2.640499837,451.1127407,66.90135364,31.8080821,5.362712957
0.61685774,1.619894316,414.4787034,77.51669575,28.69713621,2.270576174
32.01,9.853727393,50.22,118.5392143,198.82,0.193508
225.95,0,122.98,101.9914571,250.77,0.2585
80.73,0.500557097,64.86,108.7891822,228.16,0.122639
36.19,8.837706989,66.4,90.1043858,188.76,0.272575
106.29,0,81.53,96.2295964,216.05,0.196613
208.79,0,101.65,100.7124022,213.18,0.119891
34.56,6.7683316,55.56,117.0029196,200.85,0.171346
236.77,0,155.66,92.58973751,227.38,0.196314
117.6,0,120.73,85.71270772,196.18,0.168723
100.71,0,81.8,136.2763369,215.46,0.142703
188.95,0,94.73,100.3263796,239.5,0.240523
37.09,5.442408615,82.23,91.22928808,208.27,0.141295
33.12,0,45.06,37.10721441,40.11,0.08727
183.16,0,93.86,32.45193522,55.43,0.106132
54.58,0,60.56,32.90650901,41.04,0.081521
47.5,0,50.35,39.31865164,60.34,0.041328
42.68,1.704476525,45.14,67.7463211,60.99,0.074888
85.39,0,67.59,52.75692034,64.25,0.090013
64.1,0,59.92,30.20838281,45.4,0.033342
81.5,0,78.47,24.57567128,47.13,0.027966
76.13,0,68.84,27.96952582,50.06,0.037688
19.38,1.26664677,36.57,37.39631789,31.15,0.062896
55.74,0,54.49,29.22361715,42.98,0.051166
177.08,0,92.25,23.16895209,77.3,0.068066
27.54,2.328095155,105.41,46.81508968,52.94,0.024726
147.15,0,175.7,40.7335387,98.46,0.048496
107.07,0,160.59,42.34805245,104.2,0.049579
69.07,0,128.86,31.18246788,73.23,0.066227
41.15,0,133.41,40.02539359,72.49,0.032347
142.66,0,196.77,24.85260188,82.98,0.015891
22.83,4.823326514,103.41,38.05290889,29.74,0.076598
52.99,0,129.69,37.3936632,31.82,0.09791
79.38,0,168.24,51.91190436,51.73,0.077546
88.68,2.372696812,152.23,66.25145855,52.77,0.125819
97.73,0,206.76,75.54331469,62.26,0.107032
46.99,0,156.7,67.01895575,32.65,0.142739
40.45462994,35.71320476,68.90036074,146.0166493,65.48253533,4.025012142
10.63750598,38.61394956,45.16187154,182.6986828,55.87824425,3.455560952
17.90385165,32.39676609,40.34685556,177.9558333,50.82390382,3.926663429
25.36088792,37.38746578,58.93337702,190.4161354,57.34649201,3.149587178
27.34703452,40.88827941,58.68286292,199.1328549,68.19991928,3.899951433
35.69474387,38.52548683,70.89927815,218.974633,63.02404882,3.89023798
59.16827388,52.04262788,85.51103058,212.5582222,78.53960396,3.678970374
8.825931529,43.47012329,44.06121018,217.9075026,55.38736492,4.448761535
26.07699423,36.28732601,59.66124566,198.0220373,72.12099125,3.625546382
18.31184886,37.40061578,38.51555748,195.1090258,68.57142857,4.065080136
13.88856128,44.2868207,46.79838258,239.3087653,51.68700646,3.389995143
63.75572977,72.75057159,92.4283675,339.3745434,87.20189716,4.968431277
9.232535724,34.64336101,41.58015346,173.2015585,53.86020657,2.413793103
5.843427338,29.51350819,27.23725586,170.2812777,38.66295765,2.415007285
3.554078298,25.79665507,20.8469745,139.8272534,36.5981241,2.683341428
11.50945791,29.85632577,34.7313666,136.1526998,40.30252271,2.281447305
12.68478963,31.37453505,36.65197884,172.4088744,42.22932954,2.113890238
13.44757671,31.54318838,36.81529562,148.6592309,42.30551627,1.94511899
12.44368388,32.65885154,39.29787346,175.9917831,41.02973169,2.413793103
6.035956527,31.23248527,28.26466436,189.8325777,38.2441577,2.424720738
13.67387235,34.72395427,36.1766419,199.0324329,44.79309648,2.032540068
6.738774542,32.46038086,27.38948036,198.1749395,45.02214204,2.342156387
7.700944158,39.84218519,24.81218844,236.2994316,29.79437229,2.572850898
38.99657507,64.16484712,71.1328298,352.6102803,58.42928216,2.300631374
6.567333178,21.27709406,28.30356343,87.1907861,29.84441301,2.082321515
6.466741719,21.29305669,35.65168505,61.69882671,41.4022752,1.290675085
3.83823058,18.01040508,25.66710532,44.90053904,30.81470684,2.639630889
5.33709411,16.95432345,27.26750861,49.96708956,36.68443497,2.340942205
6.207158621,20.53363431,28.4044619,64.03511049,47.50598967,2.266877125
7.009669333,19.28307837,38.09284557,46.43675225,59.42094313,2.767119961
3.018036455,17.80600626,22.04084921,45.25687757,39.61706186,2.415007285
4.109237799,24.00845476,36.30077787,67.25758331,41.78571429,3.122875182
4.923725492,25.93699648,28.08493057,73.21468334,31.20709283,3.563623118
3.727671203,26.21891323,26.4325733,58.80182632,35.17041334,2.699125789
3.159884008,31.80047068,18.05065471,70.51021538,41.94959017,2.570422535
7.747369563,27.14661587,29.84749397,74.14528195,43.40336028,1.515298689
7.970241501,17.1368415,45.49541137,43.75139543,77.88944724,1.786061195
10.61115897,17.1795789,48.86142033,37.09903608,55.63531945,1.594220495
8.221234397,13.72337582,45.81982352,28.16032961,58.17075574,2.202525498
7.431976863,14.83113395,43.38078417,32.1643114,86.05393706,2.014327343
9.485424208,10.98451808,49.27287041,34.5615386,59.8824434,2.151529869
12.64374219,13.08219559,67.51323361,23.77373119,115.9723115,2.070179699
5.907688071,13.65858465,36.27574467,45.08991461,59.59930314,1.779990287
10.67646178,16.36080928,53.33410603,29.38462507,61.56985635,1.936619718
10.00270777,19.39193646,48.29299914,32.97037677,98.92857143,1.817629917
11.29056153,11.58265163,58.26937953,36.20850532,79.35981576,1.61243322
7.660888333,11.65974506,40.66632017,27.61480718,44.09620991,1.788489558
10.01477388,17.00443011,35.27123901,41.67993999,97.68907563,2.767119961
28.93128273,30.63927002,31.03808959,73.07441887,88.00461976,7.117532783
21.39215192,28.72552562,23.61556214,66.56777858,101.620179,5.616804274
17.10330872,22.13790345,19.96512648,120.1586372,93.99652801,6.240893638
15.45143279,22.58297222,20.34791004,126.2221435,91.85949414,4.946576008
27.60740538,24.8603691,35.41246519,146.4944014,102.4531025,6.76056338
32.21737055,31.76700816,36.72758157,150.4703822,119.9964639,4.711024769
28.77921338,33.18947543,45.31632811,201.201937,97.59475219,4.643030597
24.34347333,34.43793416,36.39035714,200.5397524,70.1902369,4.525012142
26.45501436,27.49709502,30.43415001,144.2300954,103.8226849,8.737251093
30.55021243,30.24474866,35.5413365,133.4456721,100.0493086,4.691597863
21.29545839,33.5442305,30.71112099,158.0371062,72.81553398,5.556095192
18.3710266,27.54505397,27.89145044,139.0975881,85.04373178,4.329771734
20.04990594,30.76283633,31.04476846,160.1145365,86.84301266,4.436619718
21.13358203,30.68358331,30.66692007,172.2230705,89.32177866,4.783875668
24.66152893,37.36740157,32.84519787,207.0362623,65.32106782,6.466731423
17.6085822,31.72677182,32.55100572,173.3849293,61.47222772,5.524526469
22.91945532,25.33357672,31.42012552,142.1514483,86.27073001,3.438562409
25.43137446,36.01135117,34.71371176,160.3611059,74.82608602,4.769548324
21.69602881,37.99435794,42.61801662,183.6393485,63.53194544,4.924720738
37.09693892,49.80408597,56.37872643,221.2019065,67.96536797,5.376396309
56.68105125,44.49328559,59.79904927,172.2692361,92.85714286,4.011656144
34.4885195,47.39894243,66.17356175,245.0826432,67.33653163,5.934677028
41.20216469,48.12822253,59.7698321,217.4659348,75.61120895,5.437105391
27.67540249,43.28244685,61.15754726,252.7621044,35.89816124,5.684798446
19.55987535,24.96535644,36.12016884,115.6524658,54.55266955,3.555123847
26.43230986,32.25843577,40.80876062,131.8440106,33.09100798,8.149587178
18.05243718,29.84014954,40.9118629,132.2391909,24.29296592,4.858912093
16.63095915,31.26779198,38.27343473,141.4000261,23.67551148,6.063623118
21.0279167,38.16267849,48.39679171,231.0849057,25.88940721,5.543953375
24.38633273,37.83232454,50.93945708,240.8212901,29.62726866,5.789218067
23.18564924,37.61061875,45.30482535,220.3586549,33.17073171,4.633317144
24.88676504,39.24748132,50.20063179,233.5398907,31.75535924,5.390966489
16.9,14.2,32.6,52.3,161,0.610821652
17.3,14.4,38.4,46.3,142,0.726131119
18.1,14.8,36.5,30.9,104,0.774176551
24.3,15.9,40.1,66.4,191,0.854893969
60.1,3.9,53.3,23.7,115,0.507683128
74.2,9.7,61.5,38.3,117,0.55701028
81.8,8.8,67.2,40.8,126,0.645413701
89.1,16.3,72.2,42.3,138,0.711396736
12.1,19.5,19,68.8,9.2,0.056070735
4.5,17.5,21.1,66,1.1,0.145208828
3.7,13.1,12.7,34.1,0.6,0.122205449
5,23.2,19.6,61.5,2.7,0.114298038
6.9,18.8,16.8,40.4,3.5,0.063978147
9.8,13.9,11.9,35.5,2.7,0.102077493
7.1,16.3,19,37.3,7.5,0.02444109
6.7,16.6,15.2,41.6,1.8,0.098483215
7.4,16.3,14.9,51.9,6,0.078355258
5.5,21.9,24.1,57,3,0.033786212
8.9,9.7,11.6,27.9,3.5,0.013658256
6.4,5.1,16.1,11.1,0.6,0.031629646
6.3,8.5,19,23.3,0.5,0.054633024
9.7,19,21,47.6,1.6,0.012220545
10.3,15.8,24.4,40.4,1.7,0.032348501
14.1,6.3,22.3,25.4,7.2,0.013658256
8.1,9.4,25.1,9.1,1,0.053195313
7,8,14.8,14.8,1.2,0.027316512
8.3,15,20.7,39.3,2.2,0.050319891
5.5,6.6,17.6,0.9,1.4,0.028035368
5.1,5.1,19.7,4,0.9,0.015095967
6.9,12.3,23.1,19.9,1.4,0.031629646
13.2,12.8,13.8,33.8,1.5,0.175400762
10.4,12.7,27.8,16.5,1.1,0.033786212
10.6,10.6,26.1,28.3,3.8,0.043131335
9.2,12.7,19.5,21.6,0.9,0.081949536
13.6,4.5,25.3,6.7,2.3,0.066853569
13.6,18.2,36,58.7,3.2,0.003594278
17.6,13.4,36.8,54.8,7.3,0.11070376
13.4,13.8,30.3,42.7,2.3,0.049601035
11.9,33.1,53.6,56.1,12.8,0.086981525
14.2,37.9,50.5,68.4,9.1,0.058946158
18.3,8.6,29.4,44.7,2.7,0.124362016
15.5,22.5,42.3,84.7,3.6,0.121486593
17.3,1,3,39.5,0.19,8.504494285
14.3,0.8,6.7,35.1,0.33,6.56346704
9.8,1.2,2.9,40.4,0.14,6.555664582
12.3,0.3,3.3,40.1,0.21,8.797044785
18.1,0.7,1.6,39.7,0.57,9.677287758
19.39,41.93,303,260,43.2,0.8
25.05,30.85,384,318,43.7,1.02
286.14,91.75,1600,587,166,0.88
260.11,41.61,1840,632,150,1.3
235.73,78.22,1720,736,145,1.93
236.12,41.66,1630,826,153,1.56
251.63,30.61,1850,858,136,2.17
321.01,127.81,2190,883,222,2.53
36.36,23.73,414,258,46.6,1.15
21.79,37.16,455,259,41.3,2.22
334.3,83.94,1700,878,215,1.51
294.34,36.2,1800,989,194,1.94
261.38,86.72,1540,829,151,1.55
285.39,119.41,1800,962,198,2.83
14.2,5.5,10.8,76.8,38.8,1.827096542
14.9,3.1,11.3,65.7,25.2,1.055014018
13.6,3,12.5,87.7,35.1,1.01752498
13.1,14.1,11.8,87.6,40,1.884193803
18,15.9,11.6,77.6,34.8,1.573533175
17,7,12.8,92.3,37.4,1.470146647
25,21.7,17.4,167.1,84.8,2.421536194
25.9,17,17.3,137.1,73.6,2.318136007
24.2,8.9,16.3,115.2,62.4,1.847422903
20.2,14.4,10.8,125.8,66.7,2.469242326
24.4,18.2,12.3,118.7,58.3,2.205717058
22.4,9.3,14.4,115.2,75.6,1.753843002
18.7,10.1,12.3,135.2,51.8,3.788258213
16.8,15,14.1,83.1,42.7,3.468227302
15.1,6.5,10.3,83.1,39.1,2.24413342
20,10.5,21.7,129.7,61.7,3.525161383
13.7,15,20.2,92,52.3,2.696594781
16.2,10.8,19.4,75.1,55.5,2.414232622
19.4,18.5,20.4,166.7,105.9,3.921277406
20.8,15.7,24.9,102,100.7,4.76899504
23.3,10.1,18.8,79.7,105.3,3.356548055
21.4,19,22,123.2,83.6,3.964192366
19.4,13.3,20.4,98.5,50,3.884355546
20,8.8,19.7,100.7,77.8,3.375971533
10.1,45.4,30.2,44.2,1.01,1.732797823
9.3,45.4,22.1,38.3,1.02,1.993107399
14.3,41.4,18.6,34.8,0.99,0.636070679
9.8,43.7,23.7,32.9,1.08,1.714300858
26.67991,18.59159,55.57043,72.78367,199.84716,1.118683057
131.300609,48.78624,165.77181,220.99256,397.56559,1.621738193
131.53616,53.12936,159.73154,272.65941,392.85434,1.99611818
197.86998,50.66961,317.18121,448.07348,624.55424,2.65868737
217.80048,62.90556,348.18793,490.14903,709.53405,2.739055424
